ADD	thêm
AIDS	AIDS
AM	LÀ
Abadon	Bỏ
Abolish	Bỏ
Absorb	Hấp thụ
Abuse	Lạm dụng
Accept	Chấp nhận
Access	Quyền
Accommodate	Chứa
Accompany	Hộ tống
Account	Trương mục
Accumulate	Tích trữ
Accuse	Tố cáo
Achieve	Hoàn thành
Acknowledge	Công nhận
Acquire	Mua
Act	Hành động
Activate	Hoạt động
Adapt	Phỏng theo
Add	Thêm
Address	Địa chỉ
Adjust	Điều chỉnh
Administer	Thi hành
Admire	Ngưỡng mộ
Admit	Thừa nhận
Adopt	Nhận nuôi
Advance	Trước
Advertise	Quảng cáo
Advise	Khuyến cáo
Advocate	Người bênh vực
Affect	Có ảnh hưởng đến
Afford	Đủ khả năng
African	Châu Phi
Age	Tuổi
Agree	Đồng ý
Aid	Viện trợ
Aim	Mục tiêu
Alert	Báo động
Allege	Quả quyết
Allocate	Chỉ định
Allow	Cho phép
Alter	Thay đổi
Amend	Tu chính
American	Người Mỹ
American	Người Mỹ
Amount	Lượng
Analyse	Phân tích
Announce	Thông báo
Answer	Câu trả lời
Anticipate	Đi trước
Appeal	Kháng cáo
Appear	Xuất hiện
Apply	Ứng dụng
Appoint	Bổ nhiệm
Appreciate	Đánh giá
Approach	Phương pháp tiếp cận
Approve	Phê duyệt
Arab	Arab
Argue	Tranh luận
Arise	Nổi lên
Arm	Cánh tay
Arouse	Đánh thức
Arrange	Sắp xếp
Arrest	Bắt giữ
Arrive	Đến
Asian	Châu Á
Ask	Hỏi
Assemble	Tập hợp
Assert	Xác nhận
Assess	Đánh giá
Assign	Chỉ định
Assist	Hỗ trợ
Associate	Liên kết
Assume	Đảm đương
Assure	Cam đoan
Attach	Đính kèm
Attack	Tấn công
Attain	Đạt
Attempt	Thử
Attend	Đi học
Attract	Thu hút
Attribute	Đặc tính
Avoid	Tránh
Await	Chờ
Award	Phần thưởng
BAN	BAN
Back	Trở lại
Balance	Balance
Balance	Balance
Ban	Ban
Bang	Tiếng nổ
Base	Căn cứ
Base	căn cứ
Be	Là
Be	là
Bear	Chịu
Beat	Đánh đập
Become	Trở thành
Beg	Ăn mày
Begin	Bắt đầu
Begin	bắt đầu
Behave	Hành xử
